date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:02:08	123760/123760	---M-Z	200	added ('OK')	text/html	etag:%221e370-62f8db34-1bba82;gz%22	https://techydevs.com/demos/trizen/html/index4.html	C:/My%20Web%20Sites/TrizenIndex4/techydevs.com/demos/trizen/html/index4.html	(from )
16:02:09	113/113	---M-Z	200	added ('OK')	text/plain	date:Thu,%2011%20Jan%202024%2015:02:11%20GMT	https://techydevs.com/robots.txt		(from )
16:02:09	3383/3383	---M--	200	added ('OK')	image/png	etag:%22d37-629c36b0-1bbc4c;;;%22	https://techydevs.com/demos/trizen/html/images/favicon.png	C:/My%20Web%20Sites/TrizenIndex4/techydevs.com/demos/trizen/html/images/favicon.png	(from https://techydevs.com/demos/trizen/html/index4.html)
16:02:10	159515/159515	---M-Z	200	added ('OK')	text/css	etag:%2226f1b-6057563a-1bbbbf;gz%22	https://techydevs.com/demos/trizen/html/css/bootstrap.min.css	C:/My%20Web%20Sites/TrizenIndex4/techydevs.com/demos/trizen/html/css/bootstrap.min.css	(from https://techydevs.com/demos/trizen/html/index4.html)
16:02:10	11115/11115	---M-Z	200	added ('OK')	text/css	etag:%222b6b-6057563a-1bbbc5;gz%22	https://techydevs.com/demos/trizen/html/css/bootstrap-select.min.css	C:/My%20Web%20Sites/TrizenIndex4/techydevs.com/demos/trizen/html/css/bootstrap-select.min.css	(from https://techydevs.com/demos/trizen/html/index4.html)
16:02:10	89728/89728	---M-Z	200	added ('OK')	text/css	etag:%2215e80-6057563a-1bbbd1;gz%22	https://techydevs.com/demos/trizen/html/css/line-awesome.css	C:/My%20Web%20Sites/TrizenIndex4/techydevs.com/demos/trizen/html/css/line-awesome.css	(from https://techydevs.com/demos/trizen/html/index4.html)
16:02:10	2936/2936	---M-Z	200	added ('OK')	text/css	etag:%22b78-6057563a-1bbbcd;gz%22	https://techydevs.com/demos/trizen/html/css/owl.carousel.min.css	C:/My%20Web%20Sites/TrizenIndex4/techydevs.com/demos/trizen/html/css/owl.carousel.min.css	(from https://techydevs.com/demos/trizen/html/index4.html)
16:02:11	936/936	---M-Z	200	added ('OK')	text/css	etag:%223a8-6057563a-1bbbc6;gz%22	https://techydevs.com/demos/trizen/html/css/owl.theme.default.min.css	C:/My%20Web%20Sites/TrizenIndex4/techydevs.com/demos/trizen/html/css/owl.theme.default.min.css	(from https://techydevs.com/demos/trizen/html/index4.html)
16:02:11	12795/12795	---M-Z	200	added ('OK')	text/css	etag:%2231fb-6057563a-1bbbc4;gz%22	https://techydevs.com/demos/trizen/html/css/jquery.fancybox.min.css	C:/My%20Web%20Sites/TrizenIndex4/techydevs.com/demos/trizen/html/css/jquery.fancybox.min.css	(from https://techydevs.com/demos/trizen/html/index4.html)
16:02:11	8140/8140	---M-Z	200	added ('OK')	text/css	etag:%221fcc-6057563a-1bbbc3;gz%22	https://techydevs.com/demos/trizen/html/css/daterangepicker.css	C:/My%20Web%20Sites/TrizenIndex4/techydevs.com/demos/trizen/html/css/daterangepicker.css	(from https://techydevs.com/demos/trizen/html/index4.html)
16:02:12	29562/29562	---M-Z	200	added ('OK')	text/css	etag:%22737a-6057563a-1bbbcf;gz%22	https://techydevs.com/demos/trizen/html/css/animated-headline.css	C:/My%20Web%20Sites/TrizenIndex4/techydevs.com/demos/trizen/html/css/animated-headline.css	(from https://techydevs.com/demos/trizen/html/index4.html)
16:02:12	37633/37633	---M-Z	200	added ('OK')	text/css	etag:%229301-6057563a-1bbbca;gz%22	https://techydevs.com/demos/trizen/html/css/jquery-ui.css	C:/My%20Web%20Sites/TrizenIndex4/techydevs.com/demos/trizen/html/css/jquery-ui.css	(from https://techydevs.com/demos/trizen/html/index4.html)
16:02:12	33818/33818	---M-Z	200	added ('OK')	text/css	etag:%22841a-6057563a-1bbbc7;gz%22	https://techydevs.com/demos/trizen/html/css/flag-icon.min.css	C:/My%20Web%20Sites/TrizenIndex4/techydevs.com/demos/trizen/html/css/flag-icon.min.css	(from https://techydevs.com/demos/trizen/html/index4.html)
16:02:13	57168/57168	---M-Z	200	added ('OK')	text/html	etag:%22df50-629c36ae-1bba8a;gz%22	https://techydevs.com/demos/trizen/html/become-local-expert.html	C:/My%20Web%20Sites/TrizenIndex4/techydevs.com/demos/trizen/html/become-local-expert.html	(from https://techydevs.com/demos/trizen/html/index4.html)
16:02:14	311193/311193	---M-Z	200	added ('OK')	text/html	etag:%224bf99-62f8db36-1bba26;gz%22	https://techydevs.com/demos/trizen/html/index.html	C:/My%20Web%20Sites/TrizenIndex4/techydevs.com/demos/trizen/html/index.html	(from https://techydevs.com/demos/trizen/html/index4.html)
16:02:14	1761484/1761484	---M-Z	200	added ('OK')	text/css	etag:%221ae0cc-62f8cac0-1bbbce;gz%22	https://techydevs.com/demos/trizen/html/css/style.css	C:/My%20Web%20Sites/TrizenIndex4/techydevs.com/demos/trizen/html/css/style.css	(from https://techydevs.com/demos/trizen/html/index4.html)
16:02:15	6366/6366	---M--	200	added ('OK')	image/png	etag:%2218de-629c36b0-1bbc55;;;%22	https://techydevs.com/demos/trizen/html/images/logo.png	C:/My%20Web%20Sites/TrizenIndex4/techydevs.com/demos/trizen/html/images/logo.png	(from https://techydevs.com/demos/trizen/html/index4.html)
16:02:15	87690/87690	---M-Z	200	added ('OK')	text/html	etag:%221568a-62f8db36-1bba24;gz%22	https://techydevs.com/demos/trizen/html/index2.html	C:/My%20Web%20Sites/TrizenIndex4/techydevs.com/demos/trizen/html/index2.html	(from https://techydevs.com/demos/trizen/html/index4.html)
16:02:15	84223/84223	---M-Z	200	added ('OK')	text/html	etag:%22148ff-62f8db36-1bba20;gz%22	https://techydevs.com/demos/trizen/html/index3.html	C:/My%20Web%20Sites/TrizenIndex4/techydevs.com/demos/trizen/html/index3.html	(from https://techydevs.com/demos/trizen/html/index4.html)
16:02:16	74039/74039	---M-Z	200	added ('OK')	text/html	etag:%2212137-62f8db34-1bba58;gz%22	https://techydevs.com/demos/trizen/html/index5.html	C:/My%20Web%20Sites/TrizenIndex4/techydevs.com/demos/trizen/html/index5.html	(from https://techydevs.com/demos/trizen/html/index4.html)
16:02:16	136615/136615	---M-Z	200	added ('OK')	text/html	etag:%22215a7-62f8db36-1bbaba;gz%22	https://techydevs.com/demos/trizen/html/index6.html	C:/My%20Web%20Sites/TrizenIndex4/techydevs.com/demos/trizen/html/index6.html	(from https://techydevs.com/demos/trizen/html/index4.html)
16:02:16	94341/94341	---M-Z	200	added ('OK')	text/html	etag:%2217085-62f8db36-1bba8e;gz%22	https://techydevs.com/demos/trizen/html/index7.html	C:/My%20Web%20Sites/TrizenIndex4/techydevs.com/demos/trizen/html/index7.html	(from https://techydevs.com/demos/trizen/html/index4.html)
16:02:17	91667/91667	---M-Z	200	added ('OK')	text/html	etag:%2216613-62f8db34-1bba78;gz%22	https://techydevs.com/demos/trizen/html/index8.html	C:/My%20Web%20Sites/TrizenIndex4/techydevs.com/demos/trizen/html/index8.html	(from https://techydevs.com/demos/trizen/html/index4.html)
16:02:17	66183/66183	---M-Z	200	added ('OK')	text/html	etag:%2210287-629c36c2-1bbae4;gz%22	https://techydevs.com/demos/trizen/html/tour-fullwidth.html	C:/My%20Web%20Sites/TrizenIndex4/techydevs.com/demos/trizen/html/tour-fullwidth.html	(from https://techydevs.com/demos/trizen/html/index4.html)
16:02:17	66103/66103	---M-Z	200	added ('OK')	text/html	etag:%2210237-629c36c2-1bba68;gz%22	https://techydevs.com/demos/trizen/html/tour-grid.html	C:/My%20Web%20Sites/TrizenIndex4/techydevs.com/demos/trizen/html/tour-grid.html	(from https://techydevs.com/demos/trizen/html/index4.html)
16:02:18	86031/86031	---M-Z	200	added ('OK')	text/html	etag:%221500f-629c36c2-1bba80;gz%22	https://techydevs.com/demos/trizen/html/tour-list.html	C:/My%20Web%20Sites/TrizenIndex4/techydevs.com/demos/trizen/html/tour-list.html	(from https://techydevs.com/demos/trizen/html/index4.html)
16:02:18	92538/92538	---M-Z	200	added ('OK')	text/html	etag:%221697a-629c36c2-1bba15;gz%22	https://techydevs.com/demos/trizen/html/tour-left-sidebar.html	C:/My%20Web%20Sites/TrizenIndex4/techydevs.com/demos/trizen/html/tour-left-sidebar.html	(from https://techydevs.com/demos/trizen/html/index4.html)
16:02:18	92540/92540	---M-Z	200	added ('OK')	text/html	etag:%221697c-629c36c2-1bba6e;gz%22	https://techydevs.com/demos/trizen/html/tour-right-sidebar.html	C:/My%20Web%20Sites/TrizenIndex4/techydevs.com/demos/trizen/html/tour-right-sidebar.html	(from https://techydevs.com/demos/trizen/html/index4.html)
16:02:19	119471/119471	---M-Z	200	added ('OK')	text/html	etag:%221d2af-62f8cc4a-1bba98;gz%22	https://techydevs.com/demos/trizen/html/tour-details.html	C:/My%20Web%20Sites/TrizenIndex4/techydevs.com/demos/trizen/html/tour-details.html	(from https://techydevs.com/demos/trizen/html/index4.html)
16:02:19	92096/92096	---M-Z	200	added ('OK')	text/html	etag:%22167c0-629c36c2-1bbab2;gz%22	https://techydevs.com/demos/trizen/html/tour-booking.html	C:/My%20Web%20Sites/TrizenIndex4/techydevs.com/demos/trizen/html/tour-booking.html	(from https://techydevs.com/demos/trizen/html/index4.html)
16:02:19	74424/74424	---M-Z	200	added ('OK')	text/html	etag:%22122b8-629c36c2-1bba9a;gz%22	https://techydevs.com/demos/trizen/html/tour-search-result.html	C:/My%20Web%20Sites/TrizenIndex4/techydevs.com/demos/trizen/html/tour-search-result.html	(from https://techydevs.com/demos/trizen/html/index4.html)
16:02:20	65757/65757	---M-Z	200	added ('OK')	text/html	etag:%22100dd-629c36ae-1bba1a;gz%22	https://techydevs.com/demos/trizen/html/cruises.html	C:/My%20Web%20Sites/TrizenIndex4/techydevs.com/demos/trizen/html/cruises.html	(from https://techydevs.com/demos/trizen/html/index4.html)
16:02:20	82305/82305	---M-Z	200	added ('OK')	text/html	etag:%2214181-629c36ae-1bbaa4;gz%22	https://techydevs.com/demos/trizen/html/cruises-list.html	C:/My%20Web%20Sites/TrizenIndex4/techydevs.com/demos/trizen/html/cruises-list.html	(from https://techydevs.com/demos/trizen/html/index4.html)
16:02:20	84230/84230	---M-Z	200	added ('OK')	text/html	etag:%2214906-629c36ae-1bbacc;gz%22	https://techydevs.com/demos/trizen/html/cruise-sidebar.html	C:/My%20Web%20Sites/TrizenIndex4/techydevs.com/demos/trizen/html/cruise-sidebar.html	(from https://techydevs.com/demos/trizen/html/index4.html)
16:02:21	167307/167307	---M-Z	200	added ('OK')	text/html	etag:%2228d8b-62f8cea4-1bba76;gz%22	https://techydevs.com/demos/trizen/html/cruise-details.html	C:/My%20Web%20Sites/TrizenIndex4/techydevs.com/demos/trizen/html/cruise-details.html	(from https://techydevs.com/demos/trizen/html/index4.html)
16:02:21	73699/73699	---M-Z	200	added ('OK')	text/html	etag:%2211fe3-629c36ae-1bba2e;gz%22	https://techydevs.com/demos/trizen/html/cruise-search-result.html	C:/My%20Web%20Sites/TrizenIndex4/techydevs.com/demos/trizen/html/cruise-search-result.html	(from https://techydevs.com/demos/trizen/html/index4.html)
